Y,T,prevearn,age,married,hrwage,black,hispanic,hsorged,yrs_educ,selection
243,1,2444.656006,24,0,375,1,0,1,12,0
28249,1,8000,27,0,375,1,0,1,13,0
2865,1,2444.656006,27,1,475,0,0,1,12,0
0,0,144,29,0,450,0,0,1,10,0
447,0,800,26,0,350,0,0,1,12,0
960,0,0,31,0,400,0,0,1,13,0
917,0,2444.656006,46,0,610,0,0,1,15,1
22530,0,4800,29,0,426,0,0,1,12,0
13280,1,0,37,0,475,0,0,1,12,0
15492,1,2444.656006,31,1,385,0,0,1,10,1
395,0,500,23,0,400,1,0,1,12,0
15663,0,2444.656006,47,0,160,0,0,1,9,1
0,1,0,51,0,500,0,1,0,9,0
39360,1,12000,33,0,750,0,0,0,9,0
1938,0,2444.656006,36,0,400,1,0,0,8,0
12845,1,5000,34,0,864,0,0,1,12,0
634,1,16155,31,0,785,0,0,1,12,0
3846,0,0,23,0,450,1,0,1,12,0
23628,0,0,41,1,671,0,1,0,9,0
0,1,8443,24,0,428,1,0,1,12,0
0,1,0,34,1,300,0,0,1,12,0
24524,1,10600,39,0,750,0,0,1,12,0
2614,1,300,32,0,400,0,0,0,11,0
0,1,2444.656006,36,1,145,0,0,0,11,0
0,1,0,31,0,350,0,0,1,12,0
21204,1,0,64,1,460,0,0,1,11,0
1087,1,3826,23,0,336,1,0,0,11,0
90,1,0,22,1,335,0,0,1,12,0
213,1,0,63,1,350,0,0,1,12,0
15366,1,2444.656006,25,0,375,0,1,0,7,0
1142,0,2444.656006,30,0,360,1,0,0,8,0
2260,1,8340,40,0,500,0,1,0,9,0
0,1,2444.656006,22,1,335,0,0,1,12,1
0,0,16000,44,0,475,0,0,1,12,0
2036,0,0,28,0,370,0,0,1,11,0
75,0,0,30,0,489,1,0,1,9,0
20058,1,7630,46,0,935,1,0,0,11,0
18975,0,0,47,0,335,1,0,1,9,0
0,1,2444.656006,56,0,425,0,1,0,8,0
20751,1,7000,22,0,370,1,0,1,13,0
31765,1,4800,31,0,650,0,0,1,12,0
15302,1,1000,29,0,425,1,0,0,12,0
11115,1,2444.656006,28,0,650,0,0,0,10,0
306,0,0,23,0,400,1,0,1,11,0
17127,1,0,44,0,395,0,0,0,9,0
18374,1,2900,33,0,400,0,0,1,12,1
0,1,6600,23,0,500,0,0,0,10,0
38945,0,9000,35,0,650,1,0,1,12,0
28804,0,3000,23,0,305,1,0,1,12,0
14625,1,0,27,1,64,0,0,1,12,0
0,0,0,36,0,400,0,1,1,12,0
26040,0,300,31,0,395,1,0,1,12,0
8775,1,600,28,0,450,0,1,0,9,0
5737,0,4641,24,0,350,0,0,1,12,0
0,1,0,29,0,573,0,1,0,8,0
6821,1,160,28,0,425,1,0,1,12,0
18501,0,400,30,0,355,0,0,1,9,0
0,1,260,25,1,500,1,0,1,14,0
16332,0,4848,52,0,375,0,0,1,8,0
29452,0,2003,39,0,400,0,0,1,13,0
6965,1,0,32,0,335,1,0,1,12,0
34612,1,12000,35,0,600,0,0,1,14,0
12249,0,2444.656006,32,1,400,0,0,0,10,0
1565,1,0,23,0,365,1,0,1,12,0
2322,1,0,24,1,440,1,0,1,12,0
0,0,10000,39,1,450,0,0,0,9,1
15484,1,2444.656006,29,0,979,1,0,1,12,0
978,1,1190,33,0,425,0,0,1,10,0
4633,1,2444.656006,22,0,400,1,0,1,10,0
0,1,3000,33,0,300,1,0,1,12,0
18147,1,0,37,0,450,0,0,0,10,0
20442,0,2000,33,0,350,1,0,1,16,0
5311,1,0,63,0,350,0,0,0,10,0
254,1,498,26,1,345,0,0,0,9,0
25401,0,2444.656006,35,0,420,0,0,1,10,0
10101,1,3744,30,0,780,0,0,0,8,1
18009,1,6500,43,0,742,0,0,1,10,0
8945,1,7800,28,0,710,0,0,1,12,0
5952,1,2444.656006,24,0,450,0,0,1,12,1
16689,1,352,28,0,440,0,0,0,9,1
0,0,0,34,0,201,1,0,0,11,0
6180,0,528,44,1,335,0,1,1,9,0
0,0,700,36,0,250,0,0,1,13,0
2577,0,0,27,1,350,0,0,1,12,0
24536,1,1306,49,0,563,0,1,1,14,0
39888,0,2444.656006,35,0,350,1,0,1,12,0
51060,1,2725,23,0,400,0,0,0,9,0
28804,1,1768,22,0,335,0,0,1,12,0
25700,1,0,27,0,480,0,0,1,12,0
588,1,400,44,0,485,0,0,0,8,1
16919,1,0,53,0,1500,0,0,0,11,0
17289,1,2574,25,0,486,0,0,1,10,0
29797,1,2000,43,0,520,0,0,1,13,0
16417,1,5394,23,1,1740,0,0,1,12,0
0,1,0,31,0,350,0,0,1,9,0
8717,0,2444.656006,37,0,440,0,1,0,9,0
12615,1,6000,42,0,450,1,0,1,12,0
34837,0,0,23,0,400,1,0,1,12,0
18501,1,2444.656006,25,0,425,1,0,0,13,0
5557,1,1800,26,0,400,1,0,1,12,0
23765,1,50,40,1,1000,0,0,0,11,0
33403,1,12469,34,0,693,0,0,1,12,0
26475,0,3880,25,0,400,0,0,1,15,0
0,1,2400,32,0,500,1,0,1,12,0
26037,1,0,45,0,350,1,0,0,9,0
0,1,2444.656006,48,0,286,1,0,1,12,0
6150,0,1500,42,0,475,0,1,0,8,0
960,1,0,31,0,335,0,0,1,11,0
21175,1,128,29,0,400,0,0,0,12,0
11117,0,2300,27,1,425,0,0,1,9,0
21572,1,1751,23,0,575,0,0,1,13,0
27660,0,8004,29,0,675,0,1,1,11,0
45400,1,3900,35,0,425,0,1,1,13,0
26314,0,638,38,1,400,0,0,1,12,0
3330,1,3920,24,0,400,1,0,0,11,0
31957,1,2444.656006,23,1,375,0,0,0,8,1
22662,1,2508,32,0,625,1,0,1,12,0
7838,0,0,40,0,525,0,0,0,9,0
0,1,2444.656006,37,1,375,0,0,1,16,0
1839,1,0,35,0,506,0,0,1,12,0
567,1,0,43,0,335,0,0,0,10,0
21569,1,5400,51,0,375,0,0,0,8,0
62019,1,15000,27,0,619,1,0,1,12,0
12597,1,4500,36,0,400,0,0,1,12,0
39383,1,6500,27,0,500,0,0,1,12,1
23466,0,2400,38,0,201,0,0,1,14,0
22411,1,10125,30,0,612,0,0,1,17,0
0,1,2444.656006,30,0,335,0,0,1,11,0
23832,1,2444.656006,34,0,400,0,0,1,12,0
981,1,550,30,0,250,0,0,0,7,1
0,1,0,35,0,1250,0,0,1,8,0
40236,1,2444.656006,34,0,675,1,0,1,12,1
1074,0,0,34,1,365,0,0,1,10,0
5376,1,4985,36,0,520,0,0,1,14,0
10185,1,0,32,0,375,0,0,1,12,0
17863,1,4000,27,0,355,0,0,1,9,0
150,1,0,37,0,550,1,0,1,12,0
28314,1,1900,28,0,458,0,0,0,8,0
4772,0,2444.656006,31,0,385,0,0,1,14,0
17976,1,0,25,0,375,0,1,1,12,0
32178,1,12000,43,0,500,1,0,1,10,0
23437,1,2500,22,0,275,0,0,0,9,0
17413,1,1800,41,1,355,0,0,1,14,0
5916,0,1312,23,0,410,1,0,1,12,0
0,1,2444.656006,36,0,50,0,0,0,10,0
5850,1,500,24,0,400,1,0,1,12,0
39102,1,2600,31,0,595,1,0,1,12,0
0,0,0,31,0,500,0,0,1,12,0
2377,1,2444.656006,26,0,188,1,0,1,10,0
2479,1,2444.656006,30,0,365,1,0,1,10,1
23725,0,0,30,0,1250,1,0,1,12,0
828,1,8050,26,0,500,0,0,1,11,0
11037,0,2444.656006,36,0,400,0,0,1,14,0
26906,1,3472,28,1,345,0,0,1,11,0
24,0,0,28,0,500,0,1,0,8,0
36669,1,11000,30,0,677,0,0,1,13,1
5712,1,2444.656006,29,0,345,1,0,1,12,0
30439,1,1104,31,0,460,1,0,1,14,0
13755,1,3300,34,0,350,0,0,1,12,0
21310,0,3000,24,0,500,0,1,1,12,0
417,0,2444.656006,29,0,365,1,0,0,8,0
5865,1,0,38,0,592,0,0,1,14,0
11235,1,2444.656006,68,0,450,1,0,1,12,0
13825,1,0,54,1,555,0,0,1,8,0
26013,1,6000,36,0,500,0,0,1,14,0
7086,1,5887,24,0,400,1,0,1,12,0
4281,0,1500,25,1,345,1,0,0,8,0
32533,1,2444.656006,38,1,653,0,0,1,12,0
798,0,2444.656006,22,0,345,0,0,1,12,0
0,1,8800,35,0,695,0,0,1,12,0
0,1,400,25,0,450,1,0,1,10,0
0,1,0,37,0,315,0,0,0,8,0
22985,1,2444.656006,24,0,395,0,0,1,12,0
33937,0,2444.656006,31,0,415,0,1,1,11,0
21609,1,900,37,0,900,0,0,1,12,0
2625,1,100,25,1,210,0,1,1,9,0
15223,1,3289,26,0,515,1,0,1,12,0
5622,1,2444.656006,25,1,375,0,0,0,9,0
0,1,2444.656006,25,0,371,0,0,0,9,0
5168,0,0,37,0,1250,0,1,1,12,0
17391,1,2444.656006,34,0,609,1,0,0,11,0
13484,1,1750,30,0,500,1,0,0,9,0
0,1,2444.656006,22,0,335,0,0,1,12,0
29339,1,450,27,0,400,1,0,0,9,0
0,1,2444.656006,57,0,505,0,0,0,11,0
0,1,2444.656006,53,1,1221,0,0,0,10,0
10728,1,4227,41,1,415,0,0,0,9,0
5953,1,11000,33,0,1017,0,0,1,8,1
0,1,0,28,0,601,1,0,0,10,0
0,0,1540,22,0,350,0,0,1,12,0
24971,1,9000,30,0,483,0,1,1,11,0
1479,1,5000,32,1,650,1,0,0,10,0
36091,1,15028,60,1,720,0,0,1,12,0
40727,0,15000,58,0,192,0,0,1,16,0
20115,0,2444.656006,33,0,500,0,0,1,7,1
1379,0,0,36,0,425,0,0,1,11,0
30549,1,2444.656006,32,1,450,1,0,1,12,0
0,1,0,25,0,495,0,1,0,8,0
2934,1,0,39,0,500,1,0,1,9,0
0,1,0,68,0,385,0,0,0,8,1
20196,1,400,32,0,400,1,0,1,14,0
11261,1,2300,24,0,450,0,0,1,10,0
0,0,2444.656006,25,0,571,1,0,1,8,0
14103,1,2444.656006,29,0,531,0,1,1,10,0
0,0,0,30,0,400,0,0,0,11,1
9931,1,28,28,1,350,0,0,1,12,0
55929,1,2444.656006,25,0,310,0,0,1,9,0
0,0,0,40,0,450,0,1,0,8,0
10251,1,0,23,0,286,0,0,1,10,0
18,1,2000,35,0,201,0,0,1,9,0
0,0,2444.656006,27,0,345,0,0,1,12,0
0,0,774,35,0,876,0,0,1,12,0
2074,0,0,29,0,500,1,0,0,8,1
28635,1,3793,56,0,541,0,0,1,12,0
12714,1,5189,26,0,335,1,0,1,12,0
51541,1,1200,43,1,625,0,0,1,13,0
25212,1,1800,31,1,20,0,0,1,9,0
3170,0,0,46,0,325,1,0,1,8,0
19094,1,5136,39,0,335,0,0,0,11,0
36153,1,8500,39,0,375,0,0,1,12,0
0,0,0,24,0,600,1,0,1,12,0
0,1,1050,23,0,365,0,0,1,12,0
12412,1,3804,24,0,370,1,0,1,12,0
0,1,398,28,0,450,0,0,1,14,0
13881,1,586,41,0,335,0,1,1,12,0
15109,1,7000,32,0,450,0,1,1,13,0
8187,1,700,57,0,500,0,0,1,12,0
23555,1,0,28,0,375,1,0,1,12,0
5835,0,200,30,1,425,0,0,1,12,1
25648,0,2100,28,1,352,0,0,1,10,1
462,1,2340,27,0,500,0,0,0,9,0
96,1,500,23,0,375,0,0,1,10,0
3297,1,12088,35,0,595,0,0,1,12,0
14120,1,5200,39,1,335,0,1,1,10,0
6621,0,30000,40,0,1750,1,0,1,12,0
11712,0,9000,26,0,400,0,0,1,12,0
25703,0,5000,30,0,192,0,0,0,10,1
45264,0,7080,35,0,415,0,0,0,10,0
1368,0,3228,56,0,475,0,0,0,11,0
1128,1,2664,45,0,370,1,0,0,11,0
7634,1,0,24,0,415,1,0,0,10,1
19425,1,2444.656006,31,0,400,0,0,1,12,0
15720,0,2560,35,0,575,1,0,1,12,0
15236,0,2444.656006,27,0,550,0,1,1,12,0
859,1,2444.656006,41,0,569,0,0,1,12,0
14976,1,2444.656006,35,0,400,1,0,1,14,1
2172,0,12000,31,0,550,0,1,1,11,0
19707,1,400,32,1,425,0,0,0,13,0
44727,0,4800,24,0,500,1,0,1,12,0
20079,1,5060,28,0,575,1,0,1,12,0
1644,1,4000,30,0,350,0,0,1,14,0
2820,1,2444.656006,41,1,550,0,0,0,11,0
37388,1,10600,33,0,425,0,1,1,12,0
18393,1,6000,39,0,450,0,0,1,14,0
9652,1,2444.656006,44,0,335,0,0,1,10,0
12129,1,2444.656006,24,0,375,1,0,1,9,0
41892,1,1735,37,1,392,0,1,1,10,0
19099,1,400,31,0,350,0,0,1,12,1
27842,0,4686,25,0,355,0,0,1,12,0
0,0,0,34,0,425,0,1,1,12,0
4176,1,2444.656006,37,1,376,1,0,1,12,0
11477,1,4473,28,0,355,0,0,0,11,0
26223,1,9000,39,0,420,1,0,1,12,0
15651,1,0,32,0,335,1,0,1,14,0
8581,1,6000,57,0,625,0,0,1,12,0
22185,1,2444.656006,22,0,380,0,0,1,13,0
12633,1,1200,22,0,480,1,0,1,12,0
0,1,0,27,0,975,0,0,1,10,1
7065,1,0,34,0,385,1,0,0,11,1
8774,0,2444.656006,24,0,425,0,0,0,10,0
2109,1,550,31,0,335,0,0,1,12,0
4728,1,2600,31,0,355,0,1,0,8,0
13784,1,2444.656006,25,0,365,1,0,0,9,1
1702,1,0,41,0,435,0,0,0,8,0
226,0,2444.656006,32,0,400,0,1,0,11,0
9546,1,5884,28,0,535,0,0,1,11,0
867,1,10000,30,0,510,1,0,1,12,0
6477,0,0,30,0,335,0,1,0,10,0
10014,0,5000,28,0,500,0,0,1,13,0
17047,0,1100,23,0,510,0,0,1,12,1
504,1,3840,34,0,400,1,0,1,9,0
28692,1,5000,34,0,252,0,0,1,12,0
19327,1,2283,32,0,500,0,0,1,11,0
11198,0,4244,24,0,400,1,0,1,12,0
22761,1,1680,29,0,81,1,0,0,7,0
0,1,0,24,0,370,1,0,0,11,0
31690,0,4500,33,0,600,0,1,0,9,0
28974,0,0,38,0,335,0,1,1,8,0
1525,0,360,40,1,1029,0,1,0,8,0
35382,1,5600,42,0,3606,0,0,1,8,1
28713,1,2444.656006,48,0,555,0,0,1,12,0
28860,1,8007,32,1,525,0,0,1,12,1
35373,1,6000,46,0,425,0,0,1,12,1
29377,1,11117,28,0,616,0,1,1,9,0
0,1,0,30,0,360,1,0,0,11,0
20474,1,7000,22,0,786,0,0,1,12,0
18587,0,2000,36,0,400,0,0,1,12,0
91697,1,0,39,0,416,0,0,1,14,0
23144,1,42,42,1,345,0,0,1,12,0
1682,0,2444.656006,26,0,375,0,0,1,12,0
54168,1,1300,30,0,500,0,0,1,15,0
0,0,0,25,0,335,0,1,1,12,0
3626,1,166,26,0,335,1,0,1,10,1
23991,1,5520,39,0,575,0,1,1,12,0
9535,0,400,23,0,541,1,0,1,12,0
10257,0,3056,42,0,160,1,0,1,12,0
5976,1,0,49,0,400,0,0,0,10,1
12977,1,2444.656006,31,0,300,0,0,1,12,0
17914,1,0,41,0,600,0,1,1,12,0
1057,1,0,39,1,355,0,0,0,8,1
231,1,1995,50,0,475,0,0,1,10,0
1347,1,0,23,0,335,1,0,1,13,0
0,1,4320,30,0,525,0,1,0,8,0
14572,0,3500,33,1,450,1,0,1,12,0
15357,1,4226,31,0,429,0,0,1,12,0
7493,1,0,23,0,890,1,0,1,11,0
1035,1,0,33,0,295,0,1,0,9,0
1744,1,0,31,1,300,1,0,0,8,0
14847,1,200,31,0,470,1,0,1,12,0
0,0,0,33,0,325,1,0,0,12,0
354,1,6000,41,1,375,0,0,1,12,0
14180,1,3000,24,0,2000,0,0,1,10,0
7402,1,4746,30,0,352,0,1,0,10,0
17905,1,2409,24,0,335,0,0,1,14,0
10398,1,0,64,1,429,0,0,1,12,0
7540,0,2444.656006,43,1,300,0,0,1,12,1
1764,1,0,23,0,652,1,0,1,12,0
33852,1,1209,44,0,365,0,0,1,14,0
0,0,0,44,0,400,0,0,0,10,0
837,0,2444.656006,35,0,335,0,0,0,8,1
51,0,0,26,0,485,0,0,1,11,0
13647,1,2400,29,1,350,0,0,1,12,0
35199,0,3000,22,1,601,0,0,0,8,1
10709,0,8560,32,0,500,0,0,1,14,0
9546,1,0,33,0,550,0,0,1,12,0
1629,1,7675,41,0,350,0,0,0,12,0
15828,1,2444.656006,40,0,345,0,0,0,9,0
33165,1,934,29,0,950,1,0,1,15,0
15062,0,1300,25,0,405,0,0,0,8,0
24721,0,2444.656006,50,0,475,0,0,0,8,1
0,0,0,29,1,335,0,0,0,14,1
759,1,0,29,0,335,0,1,0,10,0
11730,0,2444.656006,33,1,300,0,1,1,11,0
1488,0,9700,24,0,528,0,0,1,12,0
5981,1,0,28,1,550,0,0,0,11,0
46570,1,6800,36,0,700,1,0,1,14,1
129,1,0,33,0,350,1,0,1,9,0
13377,1,2444.656006,31,1,2813,1,0,0,10,0
0,1,2444.656006,30,0,335,0,1,1,12,0
11235,1,9000,32,0,565,0,1,1,11,0
2793,1,2444.656006,29,0,400,0,0,1,12,0
1461,1,400,34,0,450,1,0,1,11,0
0,1,0,31,0,400,0,1,1,15,0
6061,1,0,35,0,625,1,0,1,12,0
0,1,0,31,0,415,1,0,0,8,1
3624,1,313,26,0,425,0,0,1,8,1
33285,0,800,41,1,350,0,0,1,13,0
0,1,0,24,1,400,0,0,0,9,1
0,1,2444.656006,46,0,375,0,0,0,11,1
10311,0,2746,22,0,350,0,0,1,15,0
1437,1,2444.656006,28,0,335,1,0,1,11,0
1833,0,0,38,0,350,1,0,0,9,0
43779,0,26000,40,0,1250,0,0,1,12,0
40139,1,2191,42,1,159,0,1,1,7,0
2026,0,6000,35,0,600,0,0,1,12,0
22569,0,9000,44,0,513,0,0,1,12,0
3032,1,2444.656006,60,0,501,0,0,1,12,0
1257,1,200,24,0,500,0,0,0,10,1
38768,1,2444.656006,25,0,350,1,0,1,12,0
14130,0,2000,35,1,400,0,0,1,12,0
22920,1,0,32,0,216,1,0,1,11,0
22356,1,2444.656006,47,0,345,1,0,1,9,0
14936,1,800,54,0,300,0,0,0,8,1
0,1,0,65,1,550,0,0,1,12,0
26496,0,0,32,0,333,1,0,1,12,0
972,1,4200,33,0,415,0,0,1,12,0
1219,1,2000,41,0,510,0,0,1,11,0
29522,0,1500,34,0,400,0,0,1,10,0
257,1,634,31,0,201,0,0,1,9,0
2136,1,0,28,1,510,0,1,1,12,0
18121,1,3628,27,0,400,0,0,1,9,0
32103,0,0,41,0,400,1,0,1,12,0
36861,1,900,28,1,688,0,0,1,13,0
1797,1,700,34,0,335,0,1,1,14,0
0,1,0,39,0,350,0,1,0,8,0
14889,1,0,31,0,360,1,0,1,12,0
6668,0,1615,24,1,400,0,0,1,10,0
33531,1,2444.656006,22,0,375,0,0,1,10,0
95,1,0,36,0,1250,0,1,1,9,0
1453,1,2444.656006,31,0,450,1,0,1,11,0
5145,0,0,26,0,350,0,0,0,8,1
738,0,2444.656006,26,0,400,0,0,0,11,1
20865,0,5600,43,1,435,0,0,0,8,0
26010,1,1300,45,0,750,0,0,1,13,0
0,1,0,22,0,410,0,0,0,11,0
2472,0,0,39,0,425,1,0,0,10,0
25266,1,0,59,0,450,0,0,1,12,0
7916,1,5000,26,0,385,0,0,0,8,0
8115,1,360,28,0,400,0,1,1,12,0
6006,1,2444.656006,45,1,725,1,0,1,8,1
43834,0,2444.656006,25,0,400,1,0,1,14,1
1058,1,0,35,0,575,1,0,0,10,0
1640,1,2444.656006,30,0,340,0,0,1,8,0
23469,0,10751,32,0,503,0,1,1,12,0
23579,1,16500,32,0,789,0,0,1,12,0
6309,0,9629,26,0,472,0,0,0,10,0
6768,1,0,24,0,500,0,0,1,9,0
0,1,0,52,0,335,0,0,0,8,0
0,1,55,30,0,545,0,0,0,9,1
579,0,8000,41,0,425,0,0,1,9,0
9148,0,3480,25,0,435,0,0,1,10,0
5047,1,500,26,0,425,1,0,1,13,0
38036,0,3600,31,0,430,1,0,1,12,0
0,1,2444.656006,34,0,335,0,0,1,12,0
34735,1,7000,37,1,400,0,0,1,16,0
420,1,2444.656006,22,0,350,1,0,1,12,0
6159,1,2444.656006,42,1,450,0,1,0,9,0
14258,1,0,35,1,335,0,0,0,9,0
20595,0,0,29,0,350,1,0,1,12,0
0,0,0,25,0,400,0,0,1,12,0
0,0,0,30,0,600,0,1,1,16,0
16931,0,1400,25,0,335,0,0,1,17,0
9383,1,6000,38,0,500,0,0,1,11,0
8272,0,6000,22,1,760,0,0,1,12,0
0,1,50,27,0,355,1,0,0,10,1
3868,1,2444.656006,26,1,400,0,1,1,14,0
26000,1,2444.656006,54,1,720,0,0,0,12,0
4380,1,0,42,0,335,0,0,1,12,0
13419,1,2444.656006,28,0,111,0,0,1,12,1
19464,1,0,32,1,385,0,0,0,10,0
9029,1,100,49,1,425,0,0,0,11,1
2233,0,0,24,0,350,0,1,1,12,0
33567,0,4000,25,0,405,0,1,1,12,0
586,1,10000,28,0,410,0,0,1,12,0
54,0,2444.656006,33,0,400,0,1,1,12,0
0,0,0,66,0,350,0,0,0,7,0
14896,1,272,24,0,340,1,0,1,12,1
11743,0,5680,30,1,650,0,0,1,12,0
0,1,0,27,0,335,0,1,0,10,0
16648,0,3906,33,0,505,0,1,1,14,0
25977,1,22274,47,0,900,0,0,1,12,0
225,1,0,35,0,375,1,0,1,12,0
0,1,42,26,1,375,0,0,0,9,0
13952,1,2444.656006,51,0,600,0,0,1,12,0
10022,1,5400,24,0,412,1,0,1,12,1
16352,1,6000,37,0,425,0,1,1,12,0
6452,1,0,36,0,425,0,1,1,12,0
8347,1,6040,42,0,458,0,1,1,12,0
24105,0,5314,32,0,425,0,0,1,13,0
23970,1,4000,43,0,498,1,0,1,12,0
3351,0,0,30,0,300,0,0,1,10,0
24171,0,3896,47,0,450,0,0,1,15,0
65536,0,3150,38,0,370,1,0,1,12,0
8995,1,2444.656006,27,0,424,1,0,1,12,0
459,1,0,34,0,710,1,0,1,9,0
15277,0,1900,38,0,375,0,0,0,7,0
21761,1,3000,51,0,490,0,0,0,10,0
1254,1,0,42,0,525,1,0,1,12,0
27057,0,6000,27,0,525,0,0,1,11,0
27651,0,0,27,0,355,0,0,0,10,1
